本来,53
饶,53
大观园,53
巧姐儿,53
之事,52
之意,52
女,52
荣府,52
学,52
小子,52
礼,52
轻轻,52
妥当,52
衙门,52
利害,52
跪,52
回身,52
红了脸,52
斟,51
惟有,51
大人,51
各色,51
歇歇,51
晚饭,51
年轻,51
胡说,51
不自在,51
有趣,51
从前,51
果子,51
一点儿,51
磕头,51
那婆子,51
两边,50
伸手,50
勉强,50
天下,50
两句,50
退出,50
自去,50
爷们,50
赌气,50
回说,50
泪来,50
园内,50
说些,49
富贵,49
梦,49
此事,49
何不,49
托,49
老嬷嬷,49
金,49
娘娘,49
古人,48
委屈,48
一行,48
文章,48
躲,48
这事,48
使不得,48
受用,48
这句,48
诧异,48
兴儿,48
三人,47
错,47
听得,47
不错,47
口里,47
自有,47
一应,47
唱,47
姑奶奶,47
逛逛,47
送到,47
从小儿,47
撵,47
一辈子,47
翠缕,47
柳家,47
汤,46
歇息,46
来往,46
取笑,46
忙忙,46
头上,46
一条,46
贾兰,46
卖,46
急忙,46
人去,46
妹子,46
睡觉,46
没见,46
体面,46
早起,46
带领,46
慌,46
王爷,46
照看,46
房子,46
造化,46
紫鹃道,46
扇子,46
大小,45
一首,45
风流,45
指着,45
亲友,45
烧,45
抬,45
银,45
嘴里,45
大红,45
碗,45
那宝玉,45
洗,45
太监,45
低头,45
上房,44
带来,44
细细的,44
小孩子,44
老子,44
花儿,44
仗,44
来到,44
索性,44
邢王二,44
答言,44
抬头,43
寺,43
贾府,43
细细,43
舅舅,43
桌上,43
打死,43
藏,43
蓉,43
不吃,43
蔷,43
问问,43
混帐,43
搬,43
不好意思,43
北静王,43
玉钏儿,43
女子,42
鬼,42
回房,42
淘气,42
打谅,42
在内,42
每人,42
说出,42
榻,42
不象,42
两天,42
真真,42
司棋,42
歪,42
醒,42
讨,42
一碗,42
一头,42
搁,42
蹄子,42
使唤,42
焙,42
道人,41
进京,41
令人,41
笑道,41
夫妻,41
家去,41
抢,41
见过,41
阿弥陀佛,41
何曾,41
心事,41
倒好,41
磕,41
拍手,41
大哭,40
祖宗,40
窗外,40
回明,40
谁家,40
弟兄,40
余者,40
告辞,40
挑,40
师父,40
外人,40
安慰,40
戏,40
往前,40
撂,40
赶忙,40
何事,39
门外,39
水,39
今见,39
幸而,39
巴不得,39
偶然,39
公子,39
不到,39
馆,39
疑惑,39
姑妈,39
二门,39
厅,39
不解,39
撞,39
天气,39
俗语说,39
金钏儿,39
孝敬,39
吃了饭,39
不算,39
巧姐,39
远远,38
一种,38
改,38
这日,38
小心,38
道士,38
几次,38
独有,38
才刚,38
痰,38
多心,38
瞒,38
法子,38
没个,38
丰儿,38
赶来,38
幸亏,38
不用说,38
掉,38
好看,38
母女,38
操心,38
帘子,38
颜色,38
宝蟾,38
金陵,37
伤感,37
上学,37
未可知,37
守,37
大嫂子,37
车,37
南边,37
院门,37
更好,37
照管,37
李嬷嬷,37
三日,37
行事,37
想道,37
银钱,37
相干,37
问好,37
拜,37
